Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,09,06,14.6,1,Y
IDCJAC0010,023000,2019,09,07,14.8,1,Y
IDCJAC0010,023000,2019,09,08,15.9,1,Y
IDCJAC0010,023000,2019,09,09,14.9,1,Y
IDCJAC0010,023000,2019,09,10,17.9,1,Y
IDCJAC0010,023000,2019,09,11,24.0,1,Y
IDCJAC0010,023000,2019,09,12,19.4,1,Y
IDCJAC0010,023000,2019,09,13,17.4,1,Y
IDCJAC0010,023000,2019,09,14,26.8,1,Y
IDCJAC0010,023000,2019,09,15,27.9,1,Y
IDCJAC0010,023000,2019,09,16,15.5,1,Y
IDCJAC0010,023000,2019,09,17,16.0,1,Y
IDCJAC0010,023000,2019,09,18,21.7,1,Y
IDCJAC0010,023000,2019,09,19,28.9,1,Y
IDCJAC0010,023000,2019,09,20,19.6,1,Y
IDCJAC0010,023000,2019,09,21,15.4,1,Y
IDCJAC0010,023000,2019,09,22,15.7,1,Y
IDCJAC0010,023000,2019,09,23,15.6,1,Y
IDCJAC0010,023000,2019,09,24,16.0,1,Y
IDCJAC0010,023000,2019,09,25,19.7,1,Y
IDCJAC0010,023000,2019,09,26,24.7,1,Y
IDCJAC0010,023000,2019,09,27,18.9,1,Y
IDCJAC0010,023000,2019,09,28,16.3,1,Y
IDCJAC0010,023000,2019,09,29,18.4,1,Y
IDCJAC0010,023000,2019,09,30,21.5,1,Y
IDCJAC0010,023000,2019,10,01,28.6,1,N
IDCJAC0010,023000,2019,10,02,27.4,1,N
IDCJAC0010,023000,2019,10,03,19.8,1,N
IDCJAC0010,023000,2019,10,04,31.8,1,N
IDCJAC0010,023000,2019,10,05,33.8,1,N
IDCJAC0010,023000,2019,10,06,17.3,1,N
IDCJAC0010,023000,2019,10,07,17.0,1,N
IDCJAC0010,023000,2019,10,08,16.8,1,N
IDCJAC0010,023000,2019,10,09,17.5,1,N
IDCJAC0010,023000,2019,10,10,21.5,1,N
IDCJAC0010,023000,2019,10,11,21.8,1,N
IDCJAC0010,023000,2019,10,12,25.6,1,N
